tab delimited	contribution
data_model_version
3.0
>>>>>>>>>>
tab delimited	sites
site	location	citations	lat	lon
DeI2	unknown	This study	48.7	273.0
PI15	unknown	This study	48.6	273.0
PI16	unknown	This study	48.7	273.0
PI16	Slate Islands	This study	48.7	273.0
PI16H	unknown	This study	48.7	-87.0
PI22	unknown	This study	48.7	273.0
PI22H	unknown	This study	48.7	-87.0
PI24H	unknown	This study	48.7	-87.0
PI24c	Slate Islands	This study	48.7	273.0
PI24m	Slate Islands	This study	48.7	273.0
PI26	unknown	This study	48.6	273.0
PI2c	unknown	This study	48.6	272.9
PI2m	unknown	This study	48.6	272.9
PI31	unknown	This study	48.6	273.0
PI32	Slate Islands	This study	48.6	272.9
PI33	Slate Islands	This study	48.6	272.9
PI34	Slate Islands	This study	48.6	272.9
PI44	unknown	This study	48.7	272.9
PI46	unknown	This study	48.7	273.0
PI47	unknown	This study	48.7	-87.0
>>>>>>>>>>
tab delimited	samples
sample	site	method_codes	citations	orientation_quality	azimuth	azimuth_dec_correction	dip	bed_dip	bed_dip_direction	height
PI22H-32a	PI22H-32	1.000e-03	This study
PI24H-16a	PI24H-16	1.000e-03	This study
PI24H-17a	PI24H-17	1.000e-03	This study
PI24H-18a	PI24H-18	1.000e-03	This study
PI24H-19a	PI24H-19	1.000e-03	This study
PI24H-20a	PI24H-20	1.000e-03	This study
PI24H-21a	PI24H-21	1.000e-03	This study
PI24H-22a	PI24H-22	1.000e-03	This study
PI24H-23a	PI24H-23	1.000e-03	This study
PI24H-24a	PI24H-24	1.000e-03	This study
PI24H-25a	PI24H-25	1.000e-03	This study
PI24H-26a	PI24H-26	1.000e-03	This study
PI24H-27a	PI24H-27	1.000e-03	This study
PI24H-28a	PI24H-28	1.000e-03	This study
PI24H-29a	PI24H-29	1.000e-03	This study
PI24H-30a	PI24H-30	1.000e-03	This study
PI24H-31a	PI24H-31	1.000e-03	This study
PI24H-32a	PI24H-32	1.000e-03	This study
PI24c-1b	PI24c-1	1.000e-03	This study
PI24c-2b	PI24c-2	1.000e-03	This study
PI24c-3b	PI24c-3	1.000e-03	This study
PI24c-4b	PI24c-4	1.000e-03	This study
PI24c-6b	PI24c-6	1.000e-03	This study
PI24c-7b	PI24c-7	1.000e-03	This study
PI24c-8b	PI24c-8	1.000e-03	This study
PI24m-10b	PI24m-10	1.000e-03	This study
PI24m-11b	PI24m-11	1.000e-03	This study
PI24m-12b	PI24m-12	1.000e-03	This study
PI24m-13b	PI24m-13	1.000e-03	This study
PI24m-14b	PI24m-14	1.000e-03	This study
PI24m-9b	PI24m-9	1.000e-03	This study
PI26-1b	PI26-1	1.000e-03	This study
PI26-2b	PI26-2	1.000e-03	This study
PI26-3b	PI26-3	1.000e-03	This study
PI26-4b	PI26-4	1.000e-03	This study
PI26-5b	PI26-5	1.000e-03	This study
PI26-6b	PI26-6	1.000e-03	This study
PI26-7b	PI26-7	1.000e-03	This study
PI26-8b	PI26-8	1.000e-03	This study
PI26-9b	PI26-9	1.000e-03	This study
PI2c-10a	PI2c-10	1.000e-03	This study
PI2c-11a	PI2c-11	1.000e-03	This study
PI2c-12a	PI2c-12	1.000e-03	This study
PI2c-13a	PI2c-13	1.000e-03	This study
PI2c-14a	PI2c-14	1.000e-03	This study
PI2c-15a	PI2c-15	1.000e-03	This study
PI2c-16a	PI2c-16	1.000e-03	This study
PI2c-17a	PI2c-17	1.000e-03	This study
PI2c-19a	PI2c-19	1.000e-03	This study
PI2c-1a	PI2c-1	1.000e-03	This study
PI2c-20a	PI2c-20	1.000e-03	This study
PI2c-22a	PI2c-22	1.000e-03	This study
PI2c-24a	PI2c-24	1.000e-03	This study
PI2c-25a	PI2c-25	1.000e-03	This study
PI2c-3a	PI2c-3	1.000e-03	This study
PI2c-4a	PI2c-4	1.000e-03	This study
PI2c-6a	PI2c-6	1.000e-03	This study
PI2c-7a	PI2c-7	1.000e-03	This study
PI2c-8a	PI2c-8	1.000e-03	This study
PI2c-9a	PI2c-9	1.000e-03	This study
PI2m-1b	PI2m-1	1.000e-03	This study
PI2m-5b	PI2m-5	1.000e-03	This study
PI2m-6b	PI2m-6	1.000e-03	This study
PI2m-7b	PI2m-7	1.000e-03	This study
PI2m-8b	PI2m-8	1.000e-03	This study
PI31-10b	PI31-10	1.000e-03	This study
PI31-12b	PI31-12	1.000e-03	This study
PI31-13b	PI31-13	1.000e-03	This study
PI31-14b	PI31-14	1.000e-03	This study
PI31-16b	PI31-16	1.000e-03	This study
PI31-17b	PI31-17	1.000e-03	This study
PI31-18b	PI31-18	1.000e-03	This study
PI31-19b	PI31-19	1.000e-03	This study
PI31-1b	PI31-1	1.000e-03	This study
PI31-20b	PI31-20	1.000e-03	This study
PI31-2b	PI31-2	1.000e-03	This study
PI31-3b	PI31-3	1.000e-03	This study
PI31-4b	PI31-4	1.000e-03	This study
PI31-5b	PI31-5	1.000e-03	This study
PI31-6b	PI31-6	1.000e-03	This study
PI31-8b	PI31-8	1.000e-03	This study
PI31-9b	PI31-9	1.000e-03	This study
PI32-1b	PI32-1	1.000e-03	This study
PI32-2b	PI32-2	1.000e-03	This study
PI32-3b	PI32-3	1.000e-03	This study
PI32-4b	PI32-4	1.000e-03	This study
PI32-5b	PI32-5	1.000e-03	This study
PI32-6b	PI32-6	1.000e-03	This study
PI32-7b	PI32-7	1.000e-03	This study
PI32-8b	PI32-8	1.000e-03	This study
PI32-9b	PI32-9	1.000e-03	This study
PI33-1b	PI33-1	1.000e-03	This study
PI33-2b	PI33-2	1.000e-03	This study
PI33-3b	PI33-3	1.000e-03	This study
PI33-5b	PI33-5	1.000e-03	This study
PI33-6b	PI33-6	1.000e-03	This study
PI34-1b	PI34-1	1.000e-03	This study
PI34-2b	PI34-2	1.000e-03	This study
PI34-3b	PI34-3	1.000e-03	This study
PI34-4b	PI34-4	1.000e-03	This study
PI34-5b	PI34-5	1.000e-03	This study
PI34-6b	PI34-6	1.000e-03	This study
PI34-7b	PI34-7	1.000e-03	This study
PI34-8b	PI34-8	1.000e-03	This study
PI44-10b	PI44-10	1.000e-03	This study
PI44-12b	PI44-12	1.000e-03	This study
PI44-13b	PI44-13	1.000e-03	This study
PI44-1b	PI44-1	1.000e-03	This study
PI44-2b	PI44-2	1.000e-03	This study
PI44-3b	PI44-3	1.000e-03	This study
PI44-4b	PI44-4	1.000e-03	This study
PI44-5b	PI44-5	1.000e-03	This study
PI44-6b	PI44-6	1.000e-03	This study
PI44-7b	PI44-7	1.000e-03	This study
PI44-8b	PI44-8	1.000e-03	This study
PI44-9b	PI44-9	1.000e-03	This study
PI46-10b	PI46-10	1.000e-03	This study
PI46-11b	PI46-11	1.000e-03	This study
PI46-1b	PI46-1	1.000e-03	This study
PI46-2b	PI46-2	1.000e-03	This study
PI46-3b	PI46-3	1.000e-03	This study
PI46-4b	PI46-4	1.000e-03	This study
PI46-5b	PI46-5	1.000e-03	This study
PI46-6b	PI46-6	1.000e-03	This study
PI46-7b	PI46-7	1.000e-03	This study
PI46-8b	PI46-8	1.000e-03	This study
PI46-9b	PI46-9	1.000e-03	This study
PI47-1a	PI47-1	1.000e-03	This study
PI47-2a	PI47-2	1.000e-03	This study
PI47-3a	PI47-3	1.000e-03	This study
PI47-4a	PI47-4	1.000e-03	This study
PI47-5a	PI47-5	1.000e-03	This study
PI47-6a	PI47-6	1.000e-03	This study
PI47-7a	PI47-7	1.000e-03	This study
PI47-8a	PI47-8	1.000e-03	This study
PI47-9a	PI47-9	1.000e-03	This study
